GEOID,Tract_Name,LST_C_mean,LST_C_max,LST_C_min,Avg_Air_Temp_C,Max_Air_Temp_C,Min_Air_Temp_C,Avg_Wind_ms,Max_Wind_ms,Min_Wind_ms,Avg_Humidity_percent
11001005202,Census Tract 52.02,39.91758936544117,42.076518891142875,35.34029481319996,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001010202,Census Tract 102.02,39.18468057222291,40.824749851577046,36.52339780962211,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001980000,Census Tract 9800,33.5466496487188,34.7175612412043,32.01655042998481,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001007202,Census Tract 72.02,40.12084489351633,41.2508289762141,37.81165868337768,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001005203,Census Tract 52.03,41.077975768742384,42.945751908753635,37.52160595438738,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001005003,Census Tract 50.03,40.16746567527569,41.81563682469845,37.05767875778533,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001004703,Census Tract 47.03,40.43428268434115,42.31878082371974,35.896617134951896,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001005004,Census Tract 50.04,40.07843719355978,41.804746429811985,36.9896831438477,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001007201,Census Tract 72.01,39.48251231044366,40.50733470525243,38.22435998501123,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001005802,Census Tract 58.02,40.613377514425544,42.540133174209195,38.32993697224774,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001004704,Census Tract 47.04,41.563945793856476,42.636405456085164,39.24289803012582,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001010201,Census Tract 102.01,39.20682123665496,41.397741794751,35.951006658006946,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001010603,Census Tract 106.03,42.14951507267855,43.82226155371702,39.35618855993259,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001010601,Census Tract 106.01,40.301191543528816,41.77663029844942,37.47288380607078,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001011002,Census Tract 110.02,34.63765572689134,35.98623067413325,32.970470098273005,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001011001,Census Tract 110.01,39.693766268478484,41.113602493865734,37.70504157084525,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001002101,Census Tract 21.01,38.83135183096303,40.97810026245815,34.14081112833863,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001007203,Census Tract 72.03,42.43154067087937,43.22189406912373,41.00482754424492,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001009510,Census Tract 95.10,36.66164082820234,37.57928268548555,35.40294066509764,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001009511,Census Tract 95.11,38.168728016269114,39.23642381087693,36.77168932851576,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001005503,Census Tract 55.03,37.18339237006164,39.48716428978837,32.93160518223225,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001005801,Census Tract 58.01,41.28803319760096,42.90063764820892,38.65044972674538,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001010900,Census Tract 109,32.30526186381215,33.896768058261785,30.809520294184537,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001010400,Census Tract 104,37.76026260354146,38.98165035655152,36.247686755987075,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001009903,Census Tract 99.03,39.96705200650877,42.684746141340014,36.70678199089803,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001009904,Census Tract 99.04,40.74196026345958,43.72366908067503,37.16902316633553,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001009905,Census Tract 99.05,40.46459103150608,42.82976242496093,38.431548469899674,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001009906,Census Tract 99.06,39.344095976137346,42.47767780868032,34.68662846010824,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001002102,Census Tract 21.02,38.90047129926699,40.30212863603542,36.93499052232681,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001002201,Census Tract 22.01,39.411575052136264,40.71761162108821,36.39869572816916,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001002202,Census Tract 22.02,36.72600953887055,37.72320973856801,35.10770625131195,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001002301,Census Tract 23.01,37.990722858835944,39.55287336804508,35.809018119938,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001006400,Census Tract 64,38.73700643569838,39.771094860639984,37.702646918821024,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001006500,Census Tract 65,40.35210472724849,41.44645990958276,37.846109453433094,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001006600,Census Tract 66,40.09678084260194,41.30965448878335,37.09594380392599,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001006700,Census Tract 67,39.55703149785003,40.699525698191,37.650903108397614,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001006802,Census Tract 68.02,40.21554955676823,41.402962342556066,38.5750601917704,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001007408,Census Tract 74.08,38.849590688391345,39.75804155716212,37.92197976270459,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001007409,Census Tract 74.09,38.96387545229064,39.8315757777196,37.604396898099864,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001007809,Census Tract 78.09,39.154670814044344,42.51158941330544,33.37739266981446,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001007903,Census Tract 79.03,41.519028041809,43.268336000874456,39.74068353565102,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
